Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/users,618,72,510.0,1434.394783656981,241.1656000003859,25881.416199999876,1360.1504854368932,11.652818949877618,1.3576099747430235,520,760,1600,1900,3200,5600,9200,13000,26000,26000,26000
,Aggregated,618,72,510.0,1434.394783656981,241.1656000003859,25881.416199999876,1360.1504854368932,11.652818949877618,1.3576099747430235,520,760,1600,1900,3200,5600,9200,13000,26000,26000,26000
